tair,rh,D_air,rad,apar,LAI,Ac,Reco,NEE
20.2835,0.0,0.0,0.0,0.0,0.0,0.0,1.2771143810437427e9,1.2771143810437427e9
21.2923,0.0,0.0,0.0,0.0,0.0,0.0,1.369612469346006e9,1.369612469346006e9
21.2923,0.0,0.0,0.0,0.0,0.0,0.0,1.369612469346006e9,1.369612469346006e9
20.2835,0.0,0.0,0.0,0.0,0.0,0.0,1.2771143810437427e9,1.2771143810437427e9
18.3348,0.0,0.0,0.0,0.0,0.0,0.0,1.1157530432755075e9,1.1157530432755075e9
15.5788,0.0,0.0,0.0,0.0,0.0,0.0,9.217310407095397e8,9.217310407095397e8
12.2035,0.0,0.0,0.0,0.0,0.0,0.0,7.294534099908131e8,7.294534099908131e8
8.4388,0.0,0.0,0.0,0.0,0.0,0.0,5.619126333766798e8,5.619126333766798e8
4.5413,0.0,0.0,0.0,0.0,0.0,0.0,4.288864795857465e8,4.288864795857465e8
0.7766,0.0,0.0,0.0,0.0,0.0,0.0,3.3037988151527816e8,3.3037988151527816e8
-2.5988,0.0,0.0,0.0,0.0,0.0,0.0,2.614592002043318e8,2.614592002043318e8
-5.3547,0.0,0.0,0.0,0.0,0.0,0.0,2.1599468862409577e8,2.1599468862409577e8
-5.5301,0.0,0.0,0.0,0.0,0.0,0.0,2.133845668862046e8,2.133845668862046e8
-6.5064,0.0,0.0,0.0,0.0,0.0,0.0,1.994221743863954e8,1.994221743863954e8
-6.5064,0.0,0.0,0.0,0.0,0.0,0.0,1.994221743863954e8,1.994221743863954e8
-5.5301,0.0,0.0,0.0,0.0,0.0,0.0,2.133845668862046e8,2.133845668862046e8
-3.6439,0.0,0.0,0.0,0.0,0.0,0.0,2.4318863972131622e8,2.4318863972131622e8
-0.9766,0.0,0.0,0.0,0.0,0.0,0.0,2.9257486563165295e8,2.9257486563165295e8
2.2902,0.0,0.0,0.0,0.0,0.0,0.0,3.669251608040293e8,3.669251608040293e8
5.9339,0.0,0.0,0.0,0.0,0.0,0.0,4.7234986193699294e8,4.7234986193699294e8
9.7061,0.0,0.0,0.0,0.0,0.0,0.0,6.135053124577391e8,6.135053124577391e8
13.3498,0.0,0.0,0.0,0.0,0.0,0.0,7.897772641211671e8,7.897772641211671e8
16.6166,0.0,0.0,0.0,0.0,0.0,0.0,9.904786216388961e8,9.904786216388961e8
19.284,0.0,0.0,0.0,0.0,0.0,0.0,1.1916311495528555e9,1.1916311495528555e9
21.1701,0.0,0.0,0.0,0.0,0.0,0.0,1.358060490811249e9,1.358060490811249e9
22.1464,0.0,0.0,0.0,0.0,0.0,0.0,1.4531440674974084e9,1.4531440674974084e9
22.1464,0.0,0.0,0.0,0.0,0.0,0.0,1.4531440674974084e9,1.4531440674974084e9
21.1701,0.0,0.0,0.0,0.0,0.0,0.0,1.358060490811249e9,1.358060490811249e9
19.284,0.0,0.0,0.0,0.0,0.0,0.0,1.1916311495528555e9,1.1916311495528555e9
16.6166,0.0,0.0,0.0,0.0,0.0,0.0,9.904786216388961e8,9.904786216388961e8
13.3498,0.0,0.0,0.0,0.0,0.0,0.0,7.897772641211671e8,7.897772641211671e8
9.7061,0.0,0.0,0.0,0.0,0.0,0.0,6.135053124577391e8,6.135053124577391e8
5.9339,0.0,0.0,0.0,0.0,0.0,0.0,4.7234986193699294e8,4.7234986193699294e8
2.2903,0.0,0.0,0.0,0.0,0.0,0.0,3.669277041442506e8,3.669277041442506e8
