Time,co2_maintn_mba,co2_growth,co2_maintn_mbd,mom_dom,pomo_mom
15647.0,1.044418806409619e-6,9.67981109341076e-6,2.578282070293447e-9,3.7069880958791685e-6,2.9533069537809197e-7
15648.0,1.0430807360973146e-6,9.667409681473977e-6,2.574719223022705e-9,3.7040264674573787e-6,2.950591791233938e-7
15649.0,1.048596576024589e-6,9.491838767340252e-6,2.5710756200414687e-9,3.646077362863884e-6,2.887096342191587e-7
15650.0,1.0472813042338758e-6,9.479932999137184e-6,2.567471736202702e-9,3.643187888260444e-6,2.884468094838136e-7
15651.0,1.0303984335765487e-6,9.327110178737806e-6,2.5639679137771757e-9,3.58678875767629e-6,2.822883809748311e-7
15652.0,1.010801355841929e-6,9.149718504550532e-6,2.5605943969508877e-9,3.500954874601021e-6,2.7599044581433827e-7
15653.0,1.0159125870573296e-6,9.195985089535112e-6,2.5572504128057073e-9,3.488158502040797e-6,2.7504365756470023e-7
15654.0,1.015925688374706e-6,9.196103681942353e-6,2.5539473917367567e-9,3.4537495558469325e-6,2.726213579451047e-7
15655.0,1.0227363979964682e-6,9.257753852369214e-6,2.5506550261498836e-9,3.4513572702359214e-6,2.7240212615095717e-7
15656.0,1.0216924939580117e-6,9.248304490194899e-6,2.5474071314440094e-9,3.415218978438633e-6,2.6990572473694086e-7
15657.0,1.0197776717014256e-6,9.230971624016244e-6,2.5442120029845794e-9,3.3771399930561824e-6,2.6731900686018354e-7
15658.0,1.0229007142286665e-6,9.259241233902346e-6,2.5410432275427734e-9,3.3625636663181133e-6,2.6630279492705275e-7
15659.0,1.02870503251646e-6,9.311781605101085e-6,2.5378831599434998e-9,3.3604726391348487e-6,2.6610856188335373e-7
15660.0,1.0034367062537007e-6,8.866516182765876e-6,2.534763838180994e-9,3.255950474502109e-6,2.569848305856063e-7
15661.0,1.0808413509641505e-6,9.550475151646697e-6,2.5313194939883906e-9,3.561010413367926e-6,2.799089627555256e-7
15662.0,1.0878095640057682e-6,9.612047319889505e-6,2.5278602340282534e-9,3.5588513562886986e-6,2.797088004877122e-7
15663.0,1.0946106841314907e-6,9.67214303024157e-6,2.5244106364223437e-9,3.5567599060485397e-6,2.7951420033866096e-7
15664.0,1.101248633263184e-6,9.730796937388609e-6,2.5209708747218846e-9,3.5547346274671573e-6,2.793250525197617e-7
15665.0,1.0875975526728802e-6,9.384210588401811e-6,2.5175003704708364e-9,3.499455260372328e-6,2.7332186238473453e-7
15666.0,1.0942955927926654e-6,9.442003858402423e-6,2.514040103916695e-9,3.4974475541443684e-6,2.731365038497196e-7
15667.0,1.0986851766208194e-6,9.479878878383485e-6,2.5105993732187027e-9,3.487499455012916e-6,2.7088370830075504e-7
15668.0,1.0704893593598912e-6,9.014626482982318e-6,2.5071753616409353e-9,3.373251514603276e-6,2.6029919033408594e-7
15669.0,1.0443103484875443e-6,8.581978390692224e-6,2.5037700357703295e-9,3.2672517111239644e-6,2.5087243952869205e-7
15670.0,1.0284400000769288e-6,8.45155836056429e-6,2.5004777791038156e-9,3.1742657793205705e-6,2.446357595766401e-7
15671.0,1.0104802864794098e-6,8.30396825555369e-6,2.497342380553567e-9,3.076759252379643e-6,2.3838454110259187e-7
15672.0,9.69332621230675e-7,7.776246666884328e-6,2.4944371588329566e-9,2.9169001257437647e-6,2.263793427899607e-7
15673.0,9.490169048712951e-7,7.613268533099434e-6,2.4918998632644975e-9,2.8171075239449707e-6,2.203856342040246e-7
15674.0,9.610405624313244e-7,7.897680369929511e-6,2.4895861309433087e-9,2.822285975985786e-6,2.2283560636225537e-7
15675.0,9.43682552565268e-7,7.755034971661014e-6,2.4877350229407107e-9,2.7412537406282988e-6,2.180467420074917e-7
15676.0,9.291892446620049e-7,7.635931244099958e-6,2.486378314248764e-9,2.673825491920663e-6,2.140996882635757e-7
15677.0,9.554338939843063e-7,8.045740584100711e-6,2.4849022521621023e-9,2.7373617054563807e-6,2.1999906360475307e-7
15678.0,9.518172056006881e-7,8.015284330987505e-6,2.483592347926452e-9,2.7131306991323997e-6,2.185489061009525e-7
15679.0,9.410115974311781e-7,7.924289945365737e-6,2.482684083879107e-9,2.6636726816682297e-6,2.156510860687704e-7
15680.0,1.1666399908564013e-6,9.824314147287734e-6,2.4807117180359254e-9,4.2839971181464e-6,5.773876631803998e-7
15681.0,1.19140916130396e-6,1.0032896155063675e-5,2.4782455343692664e-9,4.380235070659707e-6,5.867275700952036e-7
15682.0,1.374099568546875e-6,1.1571338147895418e-5,2.4742884119630744e-9,5.3093545476337025e-6,6.91803424478938e-7
15683.0,1.3837115869857525e-6,1.1652281274715314e-5,2.4702565191937015e-9,5.307361546916913e-6,6.914557556666396e-7
15684.0,1.3930889733666104e-6,1.173124855717442e-5,2.46623634926952e-9,5.305480152646611e-6,6.911234391915279e-7
15685.0,1.4022375097802894e-6,1.1808288686451928e-5,2.4622278411496127e-9,5.303707757102538e-6,6.90806141146591e-7
15686.0,1.4111626312070896e-6,1.188344743069762e-5,2.4582314120372193e-9,5.302041810003811e-6,6.90503534844715e-7
15687.0,1.4198697297068934e-6,1.1956770196627027e-5,2.4542471341615383e-9,5.3004798166937885e-6,6.902153005905956e-7
15688.0,1.4283643772757232e-6,1.202830390620389e-5,2.450274151240464e-9,5.2990193391011285e-6,6.899411258107506e-7
15689.0,1.4362317936714165e-6,1.2094555681219829e-5,2.446315188688064e-9,5.297657665946757e-6,6.87287082218902e-7
15690.0,1.439803061102262e-6,1.2124629442979742e-5,2.442380257248115e-9,5.274454144958487e-6,6.827563972324644e-7
15691.0,1.4434095696110306e-6,1.2154999971028417e-5,2.4384686606426515e-9,5.252057170804698e-6,6.795965922709341e-7
15692.0,1.4440690306431836e-6,1.2160553314303588e-5,2.4345884481665714e-9,5.216205138900439e-6,6.748702341030873e-7
15693.0,1.4438123286757814e-6,1.215839161850218e-5,2.4307425332003983e-9,5.177547024896984e-6,6.700081398166991e-7
15694.0,1.4480727916896138e-6,1.2194269119178343e-5,2.426915995545865e-9,5.163501364720109e-6,6.682297328832928e-7
